Variable / Field Name;Assessed time points in weeks;Description;;;;;;
;;;;;;;;
Fixed Variables;;;;;;;;
PID;Fixed;patient id;;;;;;y
age_category;Fixed;age at time of injury either above or below 65 years;;<65, >65;;;;
sexcd;Fixed;sex;;1, female | 2, male;;;;
bmi_category;Fixed;bmi categorized ;;underweight, healthy, overweight;;;;
srdecc1;Fixed;first spinal surgery: were spinal roots decompressed during surgery;;0, no | 1, yes;;;;
surgcd1;Fixed;first spinal surgery: was spinal surgery performed;;0, no | 1, yes;;;;
spcsuc1;Fixed;first spinal surgery: Are there more than one area of spinal column surgery ;;0, no | 1, yes;;;;
scdecc1;Fixed;first spinal surgery: was the spinal cord decompressed;;0, no | 1, yes;;;;
hemccd1;Fixed;first spinal surgery: did significant changes in the hemodynamic or pulmonary function occur during the operation;;0, no | 1, yes;;;;
mhpsyccd;Fixed;has the patient had a past history of psychiatric abnormalities;;0, no | 1, yes | 9, unknown;;;;
mhneurcd;Fixed;has the patient had a past history of neurological abnormalities;;0, no | 1, yes | 9, unknown;;;;
mhcardcd;Fixed;has the patient had a past history of cardiac abnormalities;;0, no | 1, yes | 9, unknown;;;;
mhmetacd;Fixed;has the patient had a past history of metabolic or endocrinologic abnormalities;;0, no | 1, yes | 9, unknown;;;;
tx1_r;Fixed;treatment group;;D1, dose 1 | D2, dose 2 | P, placebo;;;;
;;;;;;;;
Assessment at multiple time points;;;;;;;;
ais;1,4,8,16;calculated AIS grade at baseline;;A,B,C,D,E;;;;
elbfll;1,4,8,16;motor score C5 ;left;0,1,2,3,4,5;;;;
wrextl;1,4,8,16;motor score C6;left;0,1,2,3,4,5;;;;
elbexl;1,4,8,16;motor score C7;left;0,1,2,3,4,5;;;;
finfll;1,4,8,16;motor score C8;left;0,1,2,3,4,5;;;;
finabl;1,4,8,16;motor score T1;left;0,1,2,3,4,5;;;;
hipfll;1,4,8,16;motor score L2;left;0,1,2,3,4,5;;;;
kneexl;1,4,8,16;motor score L3;left;0,1,2,3,4,5;;;;
ankdol;1,4,8,16;motor score L4;left;0,1,2,3,4,5;;;;
gretol;1,4,8,16;motor score L5;left;0,1,2,3,4,5;;;;
ankpll;1,4,8,16;motor score S1;left;0,1,2,3,4,5;;;;
elbflr;1,4,8,16;motor score C5 ;right;0,1,2,3,4,5;;;;
wrextr;1,4,8,16;motor score C6;right;0,1,2,3,4,5;;;;
elbexr;1,4,8,16;motor score C7;right;0,1,2,3,4,5;;;;
finflr;1,4,8,16;motor score C8;right;0,1,2,3,4,5;;;;
finabr;1,4,8,16;motor score T1;right;0,1,2,3,4,5;;;;
hipflr;1,4,8,16;motor score L2;right;0,1,2,3,4,5;;;;
kneetr;1,4,8,16;motor score L3;right;0,1,2,3,4,5;;;;
ankdor;1,4,8,16;motor score L4;right;0,1,2,3,4,5;;;;
gretor;1,4,8,16;motor score L5;right;0,1,2,3,4,5;;;;
ankplr;1,4,8,16;motor score S1;right;0,1,2,3,4,5;;;;
c2ltl;1,4,8,16;light touch C2;left;0,1,2;;;;
c3ltl;1,4,8,16;light touch C3;left;0,1,2;;;;
c4ltl;1,4,8,16;light touch C4;left;0,1,2;;;;
c5ltl;1,4,8,16;light touch C5;left;0,1,2;;;;
c6ltl;1,4,8,16;light touch C6;left;0,1,2;;;;
c7ltl;1,4,8,16;light touch C7;left;0,1,2;;;;
c8ltl;1,4,8,16;light touch C8;left;0,1,2;;;;
t1ltl;1,4,8,16;light touch T1;left;0,1,2;;;;
t2ltl;1,4,8,16;light touch T2;left;0,1,2;;;;
t3ltl;1,4,8,16;light touch T3;left;0,1,2;;;;
t4ltl;1,4,8,16;light touch T4;left;0,1,2;;;;
t5ltl;1,4,8,16;light touch T5;left;0,1,2;;;;
t6ltl;1,4,8,16;light touch T6;left;0,1,2;;;;
t7ltl;1,4,8,16;light touch T7;left;0,1,2;;;;
t8ltl;1,4,8,16;light touch T8;left;0,1,2;;;;
t9ltl;1,4,8,16;light touch T9;left;0,1,2;;;;
t10ltl;1,4,8,16;light touch T10;left;0,1,2;;;;
t11ltl;1,4,8,16;light touch T11;left;0,1,2;;;;
t12ltl;1,4,8,16;light touch T12;left;0,1,2;;;;
l1ltl;1,4,8,16;light touch L1;left;0,1,2;;;;
l2ltl;1,4,8,16;light touch L2;left;0,1,2;;;;
l3ltl;1,4,8,16;light touch L3;left;0,1,2;;;;
l4ltl;1,4,8,16;light touch L4;left;0,1,2;;;;
l5ltl;1,4,8,16;light touch L5;left;0,1,2;;;;
s1ltl;1,4,8,16;light touch S1;left;0,1,2;;;;
s2ltl;1,4,8,16;light touch S2;left;0,1,2;;;;
s3ltl;1,4,8,16;light touch S3;left;0,1,2;;;;
s45ltl;1,4,8,16;light touch S4/5;left;0,1,2;;;;
c2ltr;1,4,8,16;light touch C2;right;0,1,2;;;;
c3ltr;1,4,8,16;light touch C3;right;0,1,2;;;;
c4ltr;1,4,8,16;light touch C4;right;0,1,2;;;;
c5ltr;1,4,8,16;light touch C5;right;0,1,2;;;;
c6ltr;1,4,8,16;light touch C6;right;0,1,2;;;;
c7ltr;1,4,8,16;light touch C7;right;0,1,2;;;;
c8ltr;1,4,8,16;light touch C8;right;0,1,2;;;;
t1ltr;1,4,8,16;light touch T1;right;0,1,2;;;;
t2ltr;1,4,8,16;light touch T2;right;0,1,2;;;;
t3ltr;1,4,8,16;light touch T3;right;0,1,2;;;;
t4ltr;1,4,8,16;light touch T4;right;0,1,2;;;;
t5ltr;1,4,8,16;light touch T5;right;0,1,2;;;;
t6ltr;1,4,8,16;light touch T6;right;0,1,2;;;;
t7ltr;1,4,8,16;light touch T7;right;0,1,2;;;;
t8ltr;1,4,8,16;light touch T8;right;0,1,2;;;;
t9ltr;1,4,8,16;light touch T9;right;0,1,2;;;;
t10ltr;1,4,8,16;light touch T10;right;0,1,2;;;;
t11ltr;1,4,8,16;light touch T11;right;0,1,2;;;;
t12ltr;1,4,8,16;light touch T12;right;0,1,2;;;;
l1ltr;1,4,8,16;light touch L1;right;0,1,2;;;;
l2ltr;1,4,8,16;light touch L2;right;0,1,2;;;;
l3ltr;1,4,8,16;light touch L3;right;0,1,2;;;;
l4ltr;1,4,8,16;light touch L4;right;0,1,2;;;;
l5ltr;1,4,8,16;light touch L5;right;0,1,2;;;;
s1ltr;1,4,8,16;light touch S1;right;0,1,2;;;;
s2ltr;1,4,8,16;light touch S2;right;0,1,2;;;;
s3ltr;1,4,8,16;light touch S3;right;0,1,2;;;;
s45ltr;1,4,8,16;light touch S4/5;right;0,1,2;;;;
c2ppl;1,4,8,16;pin prick C2;left;0,1,2;;;;
c3ppl;1,4,8,16;pin prick C3;left;0,1,2;;;;
c4ppl;1,4,8,16;pin prick C4;left;0,1,2;;;;
c5ppl;1,4,8,16;pin prick C5;left;0,1,2;;;;
c6ppl;1,4,8,16;pin prick C6;left;0,1,2;;;;
c7ppl;1,4,8,16;pin prick C7;left;0,1,2;;;;
c8ppl;1,4,8,16;pin prick C8;left;0,1,2;;;;
t1ppl;1,4,8,16;pin prick T1;left;0,1,2;;;;
t2ppl;1,4,8,16;pin prick T2;left;0,1,2;;;;
t3ppl;1,4,8,16;pin prick T3;left;0,1,2;;;;
t4ppl;1,4,8,16;pin prick T4;left;0,1,2;;;;
t5ppl;1,4,8,16;pin prick T5;left;0,1,2;;;;
t6ppl;1,4,8,16;pin prick T6;left;0,1,2;;;;
t7ppl;1,4,8,16;pin prick T7;left;0,1,2;;;;
t8ppl;1,4,8,16;pin prick T8;left;0,1,2;;;;
t9ppl;1,4,8,16;pin prick T9;left;0,1,2;;;;
t10ppl;1,4,8,16;pin prick T10;left;0,1,2;;;;
t11ppl;1,4,8,16;pin prick T11;left;0,1,2;;;;
t12ppl;1,4,8,16;pin prick T12;left;0,1,2;;;;
l1ppl;1,4,8,16;pin prick L1;left;0,1,2;;;;
l2ppl;1,4,8,16;pin prick L2;left;0,1,2;;;;
l3ppl;1,4,8,16;pin prick L3;left;0,1,2;;;;
l4ppl;1,4,8,16;pin prick L4;left;0,1,2;;;;
l5ppl;1,4,8,16;pin prick L5;left;0,1,2;;;;
s1ppl;1,4,8,16;pin prick S1;left;0,1,2;;;;
s2ppl;1,4,8,16;pin prick S2;left;0,1,2;;;;
s3ppl;1,4,8,16;pin prick S3;left;0,1,2;;;;
s45ppl;1,4,8,16;pin prick S4/5;left;0,1,2;;;;
c2ppr;1,4,8,16;pin prick C2;right;0,1,2;;;;
c3ppr;1,4,8,16;pin prick C3;right;0,1,2;;;;
c4ppr;1,4,8,16;pin prick C4;right;0,1,2;;;;
c5ppr;1,4,8,16;pin prick C5;right;0,1,2;;;;
c6ppr;1,4,8,16;pin prick C6;right;0,1,2;;;;
c7ppr;1,4,8,16;pin prick C7;right;0,1,2;;;;
c8ppr;1,4,8,16;pin prick C8;right;0,1,2;;;;
t1ppr;1,4,8,16;pin prick T1;right;0,1,2;;;;
t2ppr;1,4,8,16;pin prick T2;right;0,1,2;;;;
t3ppr;1,4,8,16;pin prick T3;right;0,1,2;;;;
t4ppr;1,4,8,16;pin prick T4;right;0,1,2;;;;
t5ppr;1,4,8,16;pin prick T5;right;0,1,2;;;;
t6ppr;1,4,8,16;pin prick T6;right;0,1,2;;;;
t7ppr;1,4,8,16;pin prick T7;right;0,1,2;;;;
t8ppr;1,4,8,16;pin prick T8;right;0,1,2;;;;
t9ppr;1,4,8,16;pin prick T9;right;0,1,2;;;;
t10ppr;1,4,8,16;pin prick T10;right;0,1,2;;;;
t11ppr;1,4,8,16;pin prick T11;right;0,1,2;;;;
t12ppr;1,4,8,16;pin prick T12;right;0,1,2;;;;
l1ppr;1,4,8,16;pin prick L1;right;0,1,2;;;;
l2ppr;1,4,8,16;pin prick L2;right;0,1,2;;;;
l3ppr;1,4,8,16;pin prick L3;right;0,1,2;;;;
l4ppr;1,4,8,16;pin prick L4;right;0,1,2;;;;
l5ppr;1,4,8,16;pin prick L5;right;0,1,2;;;;
s1ppr;1,4,8,16;pin prick S1;right;0,1,2;;;;
s2ppr;1,4,8,16;pin prick S2;right;0,1,2;;;;
s3ppr;1,4,8,16;pin prick S3;right;0,1,2;;;;
s45ppr;1,4,8,16;pin prick S4/5;right;0,1,2;;;;
;;;;;;;;
OUTCOMES;;;;;;;;
modben;26, 52;modified benzel classification ;;1, no motor or sensory function is preserved in the segments S4 to S5| 2, sensory but not motor function is preserved in the sacral segments S4 to S5| 3, motor function is preserved below the neurological level and the majority of key muscles below the neurological level have a muscle grade less than three and they are unable to walk| 4, unable to walk and some functional motor control below the level of injury that is significantly useful (for example assist in transfers) but that is not sufficient for independent walking| 5, limited walking and motor function allows walking with assistance or unassisted but significant problems secondary to lack of endurance or fear of falling limit patient mobility| 6, unlimited walking and ambulatory without assistance and without significant limitations other than one or both of the following (difficulties with micturition or slightly dyscoordinated gait)| 7, neurologically intact with the exception of minimal deficits that cause no functional difficulties| 9, not able to assess;;;;
elbfll;26, 52;motor score C5 ;left;0,1,2,3,4,5;;;;
wrextl;26, 52;motor score C6, left;left;0,1,2,3,4,5;;;;
elbexl;26, 52;motor score C7, left;left;0,1,2,3,4,5;;;;
finfll;26, 52;motor score C8, left;left;0,1,2,3,4,5;;;;
finabl;26, 52;motor score T1, left;left;0,1,2,3,4,5;;;;
hipfll;26, 52;motor score L2, left;left;0,1,2,3,4,5;;;;
kneexl;26, 52;motor score L3, left;left;0,1,2,3,4,5;;;;
ankdol;26, 52;motor score L4, left;left;0,1,2,3,4,5;;;;
gretol;26, 52;motor score L5, left;left;0,1,2,3,4,5;;;;
ankpll;26, 52;motor score S1, left;left;0,1,2,3,4,5;;;;
elbflr;26, 52;motor score C5, right;right;0,1,2,3,4,5;;;;
wrextr;26, 52;motor score C6, right;right;0,1,2,3,4,5;;;;
elbexr;26, 52;motor score C7, right;right;0,1,2,3,4,5;;;;
finflr;26, 52;motor score C8, right;right;0,1,2,3,4,5;;;;
finabr;26, 52;motor score T1, right;right;0,1,2,3,4,5;;;;
hipflr;26, 52;motor score L2, right;right;0,1,2,3,4,5;;;;
kneetr;26, 52;motor score L3, right;right;0,1,2,3,4,5;;;;
ankdor;26, 52;motor score L4, right;right;0,1,2,3,4,5;;;;
gretor;26, 52;motor score L5, right;right;0,1,2,3,4,5;;;;
ankplr;26, 52;motor score S1, right;right;0,1,2,3,4,5;;;;
